fips,temp
01003,17.9
01005,15.3
01007,-5.9
01009,12.6
01011,16.1
01013,15.6
01015,11.8
01017,12.7
01021,13.15
01025,16.3333333333
01027,11.7
01029,11.1
01031,16.3
01033,10.2
01035,16.2
01039,17.05
01043,10.5
01047,16.0
01049,9.46666666667
01051,15.1
01053,17.2333333333
01055,10.8
01057,12.6
01059,10.3
01061,16.4
01063,13.4
01065,13.8
01067,15.9
01071,10.35
01073,12.4
01075,13.0
01079,10.7
01081,14.2
01083,9.7
01089,10.0
01091,14.4
01093,11.45
01095,9.55
01097,17.05
01099,16.6
01101,15.2333333333
01103,10.3666666667
01105,15.3
01107,13.7
01109,15.9
01111,13.2
01117,12.5
01121,12.9
01123,13.7
01125,13.6333333333
01127,11.4
01129,18.7
01131,16.0
01133,10.05
02013,-4.2
02016,-3.53333333333
02020,-6.40625
02050,-14.275
02068,-21.6
02070,-14.8
02090,-18.34375
02100,-5.5
02110,-1.0
02122,-9.45428571429
02130,1.7
02150,-5.1
02170,-9.04545454545
02180,-13.6
02185,-21.2230769231
02188,-16.3
02220,2.1
02240,-18.0870967742
02261,-10.225
04001,10.0882352941
04003,18.2307692308
04005,9.28611111111
04007,14.6352941176
04009,15.0666666667
04011,14.6
04012,21.3714285714
04013,21.7428571429
04015,12.9227272727
04017,11.7466666667
04019,20.36
04021,20.9214285714
04023,21.02
04025,15.5363636364
04027,23.48
05001,11.6
05003,13.7
05005,10.5
05007,9.7
05009,9.1
05011,12.5
05013,13.6
05015,9.2
05017,14.0666666667
05019,14.2
05021,7.2
05023,9.8
05027,14.4
05029,10.7
05031,8.15
05033,12.4
05035,9.6
05037,8.9
05039,12.2
05041,12.1333333333
05043,13.7
05045,10.2
05047,9.7
05051,11.98
05053,12.0
05055,9.1
05057,12.7
05059,13.7
05061,14.05
05063,10.15
05065,8.9
05067,8.9
05069,11.45
05071,8.25
05073,14.1
05075,10.0
05077,9.6
05079,12.2
05081,18.2
05083,11.35
05085,11.15
05087,9.5
05091,14.0
05093,8.6
05095,9.7
05097,11.3666666667
05099,13.9
05101,6.4
05103,13.8
05109,11.3
05113,10.7
05115,10.7
05117,10.2
05119,11.15
05121,8.4
05125,12.5
05127,11.3
05129,10.0
05131,11.4
05133,14.65
05135,8.7
05137,9.4
05139,14.35
05143,8.83333333333
05145,9.8
05147,8.7
05149,11.35
06001,14.3636363636
06005,11.95
06007,11.7875
06009,10.6
06011,13.15
06013,13.2333333333
06015,11.3
06017,7.05
06019,12.845
06021,13.5
06023,10.46
06025,22.0
06027,12.59
06029,14.1192307692
06031,15.075
06033,9.22
06035,6.67777777778
06037,18.0390243902
06039,12.2666666667
06041,13.7
06043,8.82
06045,11.26
06047,15.075
06049,4.4
06051,3.9
06053,15.2727272727
06055,13.84
06057,5.53076923077
06059,20.4444444444
06061,7.46666666667
06063,6.13333333333
06065,20.0541666667
06067,13.8666666667
06069,14.9
06071,16.4666666667
06073,19.1129032258
06075,14.0
06077,15.02
06079,15.725
06081,14.3111111111
06083,17.8181818182
06085,13.6090909091
06087,14.9833333333
06089,7.61666666667
06091,7.06666666667
06093,6.88148148148
06095,14.4333333333
06097,13.8
06099,13.8
06103,10.28
06105,10.30625
06107,14.0916666667
06109,12.2166666667
06111,18.55
